detected_at,change_type,player,from,previous_to,current_to,year,previous_status,current_status
2026-05-24T12:14:02+00:00,no_longer_available,Tre'shawn Sheppard,LIU,,Clark Atlanta,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Arterio Morris,Bethune Cookman,,Tennessee St.,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Christian Jeffrey,Villanova,,Loyola Chicago,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Davis Bynum,Rider,,Prairie View A&M,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Isaiah Johnson-Arigu,St. Thomas,,Northern Iowa,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Isaiah Mbeng,East Carolina,,Elon,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Jacolb Fredson-Cole,McNeese St.,,Georgia St.,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Kevin Anthony,Lindenwood,,MSU Moorhead,2026,Available transfer,Portal committed
2026-05-26T14:11:59+00:00,no_longer_available,Papa Amadou Kante,Pittsburgh,,Little Rock,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Brennen Byrd,Houston Christian,,Cameron,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Drew McKenna,Old Dominion,,New Hampshire,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Isaiah Sutherland,East Tennessee St.,,Green Bay,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Jace Whiting,Weber St.,,UTEP,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Jayson Petty,UMKC,,Central Michigan,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Kaiden White,Marshall,,Northwest Florida State College,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Leonardo Van Elswyk,Colorado,,Stony Brook,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,Phoenix Glassnor,Toledo,,Saint Peter's,2026,Available transfer,Portal committed
2026-05-27T14:35:33+00:00,no_longer_available,William Gonzalez,Bethune Cookman,,Seminole State College,2026,Available transfer,Portal committed
